deduplicated_event_id,title,event_date,event_type,victim_organization_name,victim_organization_industry,records_affected,severity_category,primary_stakeholder_category,impact_type,confidence_score,model_used,created_at
ab44e0eb-eb90-4577-b0cd-ef13c5048e51,Ransomware Hits New Peak: Data Theft Nearly Doubles to 238TB ...,2025-09-01,CyberEventType.RANSOMWARE,Australian Signals Directorate,Government,,C6,Federal government,Extensive compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
5b2330f2-dae5-4c6e-8a06-6f4f7fe97c87,Payment Calculator - SUV Offers & Deals | Land Rover® Australia,2025-08-31,CyberEventType.OTHER,,,0,C6,Member(s) of the public,Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
03064948-f783-40fe-b4ab-b9a7c14c1577,JLR granted $3 billion loan backed by British government after cyber ...,2025-08-31,CyberEventType.OTHER,,,0,C6,Member(s) of the public,Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
432efce9-72b2-4603-aeec-fda7b71616a7,Ransomware hackers strike Toowoomba pharmacy as businesses ...,2025-08-30,CyberEventType.RANSOMWARE,Toowoomba Friendlies Society Dispensary,Healthcare,,C6,Small organisation(s),Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
9c39f749-cea6-4acd-b4de-ab9661f7d8e1,Australian Schools Increasingly Targeted by Cyber Attacks: The ...,2025-08-29,CyberEventType.RANSOMWARE,,Education,,C6,Schools,Unsuccessful low-level malicious attack,0.7,gpt-4o,2025-11-18T16:48:04.974798
ec2e21a6-174c-4c53-9e23-38244cb7ec2e,Hanson Chambers Hit by Lynx Ransomware,2025-08-26,CyberEventType.RANSOMWARE,,Legal Services,,C6,Medium-sized organisation(s),Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
14721ac6-b155-46c7-893c-e1703cc0cb92,Ransomware Attack on Hanson Chambers,2025-08-26,CyberEventType.RANSOMWARE,Hanson Chambers,Legal Services,,C6,Medium-sized organisation(s),Isolated compromise,0.65,gpt-4o,2025-11-18T16:48:04.974798
80fbf373-85b2-4609-b7b1-41094490cfaf,Casino gaming company Bragg says hackers accessed 'internal ...,2025-08-18,CyberEventType.DATA_BREACH,Bragg Gaming Group Inc.,Gambling & Gaming,,C6,Large organisation(s),Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
d272dbea-de34-47f0-8696-dccfc6ba8e4c,DDoS Attacks on Australian Government and University Targets by DieNet,2025-08-18,CyberEventType.DENIAL_OF_SERVICE,,,0,C6,Federal government,Coordinated low-level malicious attack,0.7,gpt-4o,2025-11-18T16:48:04.974798
35711d65-66db-40dd-bc42-73e674fc59ed,"iiNet Data Breach Exposes 280,000+ Customer Records",2025-08-16,CyberEventType.DATA_BREACH,,,321700,C2,Member(s) of the public,Extensive compromise,0.9,gpt-4o,2025-11-18T16:48:04.974798
8023f5a3-6733-4a93-81a4-628e58f3f265,Latest security alerts | ANZ,2025-08-09,CyberEventType.VULNERABILITY_EXPLOIT,"F5, Inc.",Technology,,C6,Large organisation(s),Unsuccessful low-level malicious attack,0.7,gpt-4o,2025-11-18T16:48:04.974798
baaedaad-30ca-472b-a0ca-a2f2c09e0dfc,Scotch College Breach Causes System Outage,2025-08-09,CyberEventType.DATA_BREACH,,,0,C6,Schools,Isolated compromise,0.6,gpt-4o,2025-11-18T16:48:04.974798
a5ea6b4f-8756-4813-a9f4-00126d5f2543,Exclusive: Belmont Christian College investigating ransomware claims,2025-08-07,CyberEventType.RANSOMWARE,Belmont Christian College,Education,910,C5,Schools,Isolated compromise,0.8,gpt-4o,2025-11-18T16:48:04.974798
9cdebc89-0ca8-4690-889b-b7931ed7fb3f,Untitled Event,2025-08-06,CyberEventType.DATA_BREACH,,,7500,C4,Member(s) of the public,Isolated compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
de7b9049-b89f-44e4-ba2f-76b2e503b6d4,Mobile Phishing (Smishing) Campaign Targeting Telecommunications Customers,2025-08-01,CyberEventType.PHISHING,,Telecommunications,,C6,Member(s) of the public,Unsuccessful low-level malicious attack,0.7,gpt-4o,2025-11-18T16:48:04.974798
b1fa154a-cda5-404b-99bd-00b16e2632a2,Sydney Lint Leak: Explosive Data Breach Exposes Sensitive ...,2025-08-01,CyberEventType.DATA_BREACH,,,,C6,Member(s) of the public,Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
8f799201-5145-45d0-af36-23b0c2208438,Privacy Policy | Australian Dental Association,2025-08-01,CyberEventType.DATA_BREACH,Australian Dental Association Inc.,Healthcare,,C6,Large organisation(s),Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
693f7f1e-8491-40a1-ac8d-3a737efaf9b6,Proof-of-age ID leaked in Discord data breach | Games | The Guardian,2025-07-15,CyberEventType.DATA_BREACH,,,70000,C3,Member(s) of the public,Isolated compromise,0.8,gpt-4o,2025-11-18T16:48:04.974798
b8bee882-e1f0-47a1-ad4b-c319dff728ab,Ingram Micro Issues Statement Regarding Cybersecurity Incident,2025-07-03,CyberEventType.RANSOMWARE,,,0,C6,Supply chain,Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
395295eb-2bba-446d-9f09-4d6b59bf3fc3,Callback Scam Campaigns Impersonate Major Australian Banks,2025-07-01,CyberEventType.PHISHING,Westpac Banking Corporation,Finance,70000,C3,Large organisation(s),Extensive compromise,0.8,gpt-4o,2025-11-18T16:48:04.974798
8d5b2b30-9306-4b41-a0dc-119dee0f0644,Your privacy | Metro South Health,2025-07-01,CyberEventType.DATA_BREACH,Metro South Hospital and Health Service,Healthcare,,C6,Regulated critical infrastructure,Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
9aa4737a-b511-4a93-80b7-ff1f3e61618c,Adelaide Women's Health Clinic Cyber Attack,2025-07-01,CyberEventType.INFRASTRUCTURE_ATTACK,,,0,C6,Member(s) of the public,Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
d90dabf0-8e0b-4a32-ba0e-20ecb75a18d5,AI Ransomware Targeting Aussie Medical Clinics | Holocron Cyber,2025-07-01,CyberEventType.RANSOMWARE,,Healthcare,,C6,Regulated critical infrastructure,Unsuccessful low-level malicious attack,0.7,gpt-4o,2025-11-18T16:48:04.974798
82f5c21a-6cdb-4655-872b-d0dcc80a6c33,Mercer Super reports security breach after Australia Post Melbourne ...,2025-07-01,CyberEventType.DATA_BREACH,,,0,C6,Member(s) of the public,Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
8a500ad9-343f-4fef-9b69-165e0b46efff,iiNet cyber incident | The Telecommunications Industry Ombudsman,2025-07-01,CyberEventType.OTHER,,,310000,C2,Member(s) of the public,Extensive compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
267154ac-f1b7-4ca0-b6cb-f1250a6608bd,Qantas fixes app issue providing access to strangers' flight details,2025-06-30,CyberEventType.DATA_BREACH,,,6000000,C1,Member(s) of the public,Extensive compromise,0.9,gpt-4o,2025-11-18T16:48:04.974798
0578e459-fc58-4c4a-a4e4-0182da55e3e8,Louis Vuitton confirms Australian customers affected in cyber attack,2025-06-30,CyberEventType.DATA_BREACH,,,5700000,C1,Member(s) of the public,Extensive compromise,0.9,gpt-4o,2025-11-18T16:48:04.974798
aab867fd-7695-40d6-9582-e0ede9c65690,Exclusive: Australia's largest home builder confirms ransomware ...,2025-06-30,CyberEventType.RANSOMWARE,,,5700000,C1,Large organisation(s),Extensive compromise,0.9,gpt-4o,2025-11-18T16:48:04.974798
c0cb20ef-1eea-4baa-9d95-720bcc328d0c,Qantas breach exposes customer booking details,2025-06-28,CyberEventType.DATA_BREACH,,,6000000,C1,Member(s) of the public,Extensive compromise,0.9,gpt-4o,2025-11-18T16:48:04.974798
2db1e083-d761-421a-9f99-44c0eb4a73e3,Ransomware Attack on Australian Political Party,2025-06-23,CyberEventType.RANSOMWARE,,,80000,C3,Federal government,Extensive compromise,0.85,gpt-4o,2025-11-18T16:48:04.974798
04009ecf-2242-4a54-afcf-5be35b3a918a,Exclusive: WA-based Pressure Dynamics confirms DragonForce ...,2025-06-17,CyberEventType.OTHER,,,0,C6,Member(s) of the public,Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
ff676eb0-968a-4edd-92cb-99e00a85492c,Dragonforce Group Data Leak at Australian Engineering Firm,2025-06-17,CyberEventType.DATA_BREACH,,,0,C6,Large organisation(s),Isolated compromise,0.6,gpt-4o,2025-11-18T16:48:04.974798
6896762a-55ba-4a66-938c-195e6f468b1e,Ransomware Report: Latest Attacks And News,2025-06-13,CyberEventType.RANSOMWARE,PeopleCheck Pty Ltd,Technology,,C6,Large organisation(s),Isolated compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
f478a122-ecce-4481-ab96-39afc7080c2e,Louis Vuitton data breach Australia: High-end retailer hit by ...,2025-06-02,CyberEventType.DATA_BREACH,,,419168,C2,Large organisation(s),Extensive compromise,0.85,gpt-4o,2025-11-18T16:48:04.974798
bf4b54a7-dc6f-4477-b5ae-02b3ad8da9b8,McDonald's AI chatbot hacked leaving Aussie job applicants exposed,2025-06-01,CyberEventType.DATA_BREACH,McDonald's Australia Limited,Retail,64000000,C1,Large organisation(s),Extensive compromise,0.9,gpt-4o,2025-11-18T16:48:04.974798
e44b2860-dc4a-4281-be1e-6f9121cf8ff5,Cyber Incident - Hoy McCormack & Moloney Solicitors,2025-06-01,CyberEventType.OTHER,Hoy McCormack & Moloney,Legal,,C6,Medium-sized organisation(s),Unsuccessful low-level malicious attack,0.7,gpt-4o,2025-11-18T16:48:04.974798
f9f64fcd-2130-4867-8021-95795d5a173f,Atmos Cyber incident response process,2025-06-01,CyberEventType.OTHER,Atmos Legal Pty Ltd,Legal and Advisory,,C6,Medium-sized organisation(s),Unsuccessful low-level malicious attack,0.7,gpt-4o,2025-11-18T16:48:04.974798
7a411780-00b3-4945-a4e7-1d8f051438d2,Government face $1 million ransom for cyber attack on health ...,2025-06-01,CyberEventType.RANSOMWARE,,Government,,C6,Federal government,Extensive compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
4d268b3c-7f08-407f-91d1-0975446d491a,Cyber Incident | Mackay Toyota,2025-06-01,CyberEventType.OTHER,Mackay Toyota Pty Ltd,Retail,,C6,Medium-sized organisation(s),Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
fa0927f7-176b-47fc-a3c1-775f94486c25,Exclusive: Legal Practice Board of Western Australia confirms Dire Wolf ransomware attack,2025-05-21,CyberEventType.RANSOMWARE,,,8094,C4,State government,Isolated compromise,0.8,gpt-4o,2025-11-18T16:48:04.974798
77083662-574f-4c91-9611-484a0b292daf,Legal Practice Board cyber attack updates | Law Society of Western ...,2025-05-21,CyberEventType.OTHER,,,0,C6,Member(s) of the public,Unsuccessful low-level malicious attack,0.7,gpt-4o,2025-11-18T16:48:04.974798
4051f4e6-b158-4f2d-9df7-0b5103f7da1b,"Cyber Incident Update - Skeggs Goldstien, Planners, Bella Vista",2025-05-20,CyberEventType.DATA_BREACH,Skeggs Goldstien Pty Ltd,Finance,,C6,Medium-sized organisation(s),Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
831ce7e4-60ab-4f3d-912d-063d6de24436,Cybercriminals target accounting firms | CPA Australia,2025-05-14,CyberEventType.RANSOMWARE,,,0,C6,Small organisation(s),Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
46ea69fb-e43a-4a2e-aff1-292b2024024f,RISE Racing statement on recent cyber incident :: Racing Queensland,2025-05-12,CyberEventType.OTHER,RISE Racing Pty Ltd,Transportation,,C6,Medium-sized organisation(s),Unsuccessful low-level malicious attack,0.7,gpt-4o,2025-11-18T16:48:04.974798
5d5945b3-fdf3-4610-9d4b-1f0f801e8ceb,Data Breach Notification — OMARA agents portal,2025-05-05,CyberEventType.DATA_BREACH,,,6,C6,Member(s) of the public,Isolated compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
5855529f-0b0a-46b9-a5aa-2680dcc850a8,Page 4 - Ransomware - data security breach,2025-05-01,CyberEventType.RANSOMWARE,,Retail,,C6,Large organisation(s),Isolated compromise,0.6,gpt-4o,2025-11-18T16:48:04.974798
39d74bff-b189-47d7-914a-ffab0972ff1e,Victorian hospital provider suffers alleged data breach | Information ...,2025-05-01,CyberEventType.DATA_BREACH,,,0,C6,Regulated critical infrastructure,Isolated compromise,0.6,gpt-4o,2025-11-18T16:48:04.974798
7c027113-f595-4372-a081-d6b8123b848d,Vertel Space Bears Ransomware Attack,2025-04-29,CyberEventType.RANSOMWARE,,,0,C6,Member(s) of the public,Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
5722ef3c-b7c4-489f-8cec-833faae6a6cf,Exclusive: Aussie MSP Vertel confirms Space Bears ransomware ...,2025-04-29,CyberEventType.RANSOMWARE,,,0,C6,Supply chain,Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
525e0748-7b1c-4f7a-b8a6-ed618728c08b,Lindian Resources Flags Security Breach at Kangankunde Rare ...,2025-04-20,CyberEventType.OTHER,,,0,C6,Regulated critical infrastructure,Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
baff39c5-e33a-414c-9c4f-99d97facfd23,TMA CEO confirms 'business as usual' for print operations following ...,2025-04-10,CyberEventType.OTHER,TMA Group of Companies Pty Ltd,Manufacturing,,C6,Large organisation(s),Unsuccessful low-level malicious attack,0.7,gpt-4o,2025-11-18T16:48:04.974798
52cbc2e2-29ab-4d0c-83af-3dc91ab1d053,Exclusive: Melbourne-based 3P Corporation breached by Space Bears ransomware,2025-04-07,CyberEventType.RANSOMWARE,3P Corporation Ltd,Finance,4500,C4,Large organisation(s),Isolated compromise,0.85,gpt-4o,2025-11-18T16:48:04.974798
80af3fe6-6130-45f2-bc24-d4011ecca572,Security breach at MCG raises questions about AI screening ...,2025-04-03,CyberEventType.DATA_BREACH,Melbourne Cricket Club,Sports and Recreation,,C6,Large organisation(s),Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
5a11ab6e-5ce8-4ec8-a4fe-eafdddfc4b5f,Congratulations!! Well done to SPR Aiden Johnson (21 Const Sqn ...,2025-04-01,CyberEventType.OTHER,Department of Defence (Australia),Government,,C6,Federal government,Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
4c2d0cd7-5325-40bf-a4a6-7b1e57d8603a,"Cybercriminals Trade Stolen Banking Info of 65,000 Australians",2025-04-01,CyberEventType.DATA_BREACH,,Finance,65000,C3,Member(s) of the public,Extensive compromise,0.85,gpt-4o,2025-11-18T16:48:04.974798
65527ddd-0a56-428d-af6b-7dbe5da401af,Exclusive: KillSec claims ransomware attack on Qld IT services firm Hexicor,2025-04-01,CyberEventType.RANSOMWARE,Hexicor,Technology,1500,C4,Medium-sized organisation(s),Isolated compromise,0.8,gpt-4o,2025-11-18T16:48:04.974798
0b7019ac-b32a-4c4d-a742-fac270d39470,Akira Ransomware Attack on Australian Process Engineering Company,2025-04-01,CyberEventType.RANSOMWARE,Consonic Pty Ltd,Manufacturing,,C6,Medium-sized organisation(s),Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
dc1b931d-f77a-4506-852e-5f6628a7ae5c,What we know so far about the cyberattack on Australian ...,2025-04-01,CyberEventType.STATE_SPONSORED_ATTACK,,Government,,C6,Federal government,Extensive compromise,0.6,gpt-4o,2025-11-18T16:48:04.974798
a84868fe-5279-41ce-8901-271bfdfa2d74,Qilin Group Attack on Australian Steel Industry Company,2025-04-01,CyberEventType.RANSOMWARE,,,23000,C3,Large organisation(s),Extensive compromise,0.8,gpt-4o,2025-11-18T16:48:04.974798
ee8f61d3-51a2-450d-9d56-ab675867a23c,Copy of 2025 (updated regularly) - Data Breach Notifications in ...,2025-04-01,CyberEventType.DATA_BREACH,,,600,C5,Member(s) of the public,Isolated compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
eccd49b0-150a-4cc7-b9d0-2de0cf11dd8a,"AUD 500,000 Lost in Cyber Attack on Australian Superannuation ...",2025-04-01,CyberEventType.RANSOMWARE,,,20000,C3,Member(s) of the public,Isolated compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
c717eaab-925f-4989-abf5-2e6b4d1f3ab2,Major superannuation cyber attack update after 'retirement funds ...,2025-03-29,CyberEventType.OTHER,,,20000,C4,Member(s) of the public,Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
5a9fb065-719c-4d61-8b59-0c53c6c27e4b,"$500,000 stolen in Australian super fund data breach ...",2025-03-29,CyberEventType.DATA_BREACH,,,20000,C4,Member(s) of the public,Isolated compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
5dd7bb12-e7b1-4436-9bd3-ba0143a6346e,Safeguarding your super,2025-03-29,CyberEventType.OTHER,Commonwealth Superannuation Corporation,Finance,,C6,Large organisation(s),Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
4d13802d-7655-4558-a375-2dc17250cce0,Protecting your money | MLC Australia,2025-03-29,CyberEventType.PHISHING,,,20000,C4,Member(s) of the public,Isolated compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
12dbda0c-2acc-4e62-b548-4438df584ffb,Australian Superannuation Funds Credential Stuffing Attack,2025-03-29,CyberEventType.OTHER,,,20000,C3,Member(s) of the public,Isolated compromise,0.8,gpt-4o,2025-11-18T16:48:04.974798
70f30704-a901-4347-9d03-5cdf42dbf361,'AustralianSuper was not hacked': Fund responds to cyber incident ...,2025-03-29,CyberEventType.DATA_BREACH,,,20000,C3,Large organisation(s),Isolated compromise,0.8,gpt-4o,2025-11-18T16:48:04.974798
72d3d969-d0c1-4df3-9ec4-9d7b38b1bb74,Update - Cyber Attack on Super Funds - Harvest Financial Group,2025-03-28,CyberEventType.OTHER,Harvest Financial Group Pty Ltd,Finance,4,C6,Large organisation(s),Unsuccessful low-level malicious attack,0.75,gpt-4o,2025-11-18T16:48:04.974798
53f96d17-af4f-4e1c-bb0d-a72dd1b72dfa,DaVita Inc. Healthcare Data Breach,2025-03-24,CyberEventType.DATA_BREACH,DaVita Inc.,Healthcare,2690000,C2,Regulated critical infrastructure,Extensive compromise,0.9,gpt-4o,2025-11-18T16:48:04.974798
bb5eae9e-287e-406d-910e-5ab5705d319d,"May 2025: Biggest Cyber Attacks, Ransomware Attacks and Data ...",2025-03-24,CyberEventType.DATA_BREACH,Australian Human Rights Commission,Government,,C6,Federal government,Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
8b2a3580-3046-4906-85a8-7a7ac8e90441,Australian Human Rights Commission Discloses Data Breach ...,2025-03-24,CyberEventType.DATA_BREACH,,,670,C5,Member(s) of the public,Isolated compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
47fc6f81-6e22-4e4b-9a42-5488a137f390,Tonga's health system 'fully restored' after cyber attack with ...,2025-03-24,CyberEventType.INFRASTRUCTURE_ATTACK,,,20000,C4,Regulated critical infrastructure,Sustained disruption of essential systems and associated services,0.75,gpt-4o,2025-11-18T16:48:04.974798
f4a6f97f-35ec-4ba1-97cf-b74f51fc0de2,RansomHub Group Breach of Australian Pharmaceutical Firm,2025-03-24,CyberEventType.DATA_BREACH,,,0,C6,Large organisation(s),Extensive compromise,0.6,gpt-4o,2025-11-18T16:48:04.974798
d2f3f186-25f0-48c1-8822-707be19541fb,Akira Ransomware Attack on Intellect Systems,2025-03-24,CyberEventType.RANSOMWARE,,,6000000,C1,Large organisation(s),Extensive compromise,0.9,gpt-4o,2025-11-18T16:48:04.974798
b370c84b-ae17-4ab8-8933-1d6ff9570987,Ascom Cyber Attack,2025-03-16,CyberEventType.RANSOMWARE,Ascom Holding AG,Telecommunications,,C6,Large organisation(s),Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
19262d6a-761e-4a63-a174-7ce3e304d1ea,Fullerton Hotels and Resorts Akira Ransomware Attack,2025-03-15,CyberEventType.RANSOMWARE,,,7,C6,Member(s) of the public,Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
8a7668db-eb24-4425-9cce-c758a75893a5,Resilient Homes Program data breach | NSW Government,2025-03-12,CyberEventType.DATA_BREACH,NSW Reconstruction Authority,Government,2031,C4,State government,Isolated compromise,0.8,gpt-4o,2025-11-18T16:48:04.974798
cdbc5b11-e509-48ba-ad97-6ca8db6aa03e,Exclusive: Aussie laboratory supplier CI Scientific listed by Lynx ransomware,2025-03-11,CyberEventType.RANSOMWARE,C.I. Scientific Pty Ltd,Manufacturing,,C6,Medium-sized organisation(s),Isolated compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
d3456caa-2317-41d5-b4b2-339655767e66,Hackers target Aussie pensioners in major super fund cyber attack,2025-03-01,CyberEventType.DATA_BREACH,,Finance,20000,C3,Large organisation(s),Extensive compromise,0.8,gpt-4o,2025-11-18T16:48:04.974798
d39654ea-f030-4d1a-a441-d1e7a6de81c0,13cabs may have suffered a major data breach,2025-03-01,CyberEventType.DATA_BREACH,Swan Taxis Pty Ltd,Transportation,11000,C4,Medium-sized organisation(s),Isolated compromise,0.85,gpt-4o,2025-11-18T16:48:04.974798
d7be7da5-8859-42a8-8e4e-f3c08e94e2fd,Major Cyber Attacks Targeting Transportation & Logistics Industry ...,2025-03-01,CyberEventType.DATA_BREACH,Ward's Transport Pty Ltd,Transportation,,C6,Large organisation(s),Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
7c049d9d-d84f-42b4-a66e-1114d039b0af,Vroom by YouX Fintech Data Breach,2025-03-01,CyberEventType.DATA_BREACH,,,27000,C3,Member(s) of the public,Isolated compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
b5ad3c39-6346-4a4b-94ee-3e2267727eea,ANZCTR cyber attack causes week-long research delays - Cyber Daily,2025-02-24,CyberEventType.STATE_SPONSORED_ATTACK,,,26466,C3,Academia/R&D,Sustained disruption of essential systems and associated services,0.8,gpt-4o,2025-11-18T16:48:04.974798
5845b505-ad41-4d4c-ba63-cbc8680f0827,May 2025 Cyber Update,2025-02-22,CyberEventType.RANSOMWARE,Ausfec Limited,Manufacturing,,C6,Large organisation(s),Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.974798
e271c8ac-3de4-4648-be86-d47268b8bc46,Slater and Gordon rogue email was sent by a 'lone wolf' as staff ...,2025-02-21,CyberEventType.OTHER,Slater & Gordon Limited,Legal Services,906,C5,Large organisation(s),Isolated compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
24bf459f-c08c-4d18-b3c9-f348c979e9ef,Ongoing impacts for TFE Hotels after cyber incident - micenet,2025-02-16,CyberEventType.OTHER,,,0,C6,Large organisation(s),Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.974798
c112abd5-6725-4d2b-94d0-29cb84f1f4a0,Cybersecurity Incident Impacting Compumedics Limited ...,2025-02-15,CyberEventType.RANSOMWARE,,,318150,C3,Large organisation(s),Extensive compromise,0.75,gpt-4o,2025-11-18T16:48:04.974798
fbba774b-1cae-47e1-bb30-08e82095a4dc,Exclusive: Akira claims cyber attack on closed Australian media company,2025-02-15,CyberEventType.RANSOMWARE,,Media,,C6,Large organisation(s),Unsuccessful low-level malicious attack,0.7,gpt-4o,2025-11-18T16:48:04.975799
972e9513-76d4-444d-9685-d78acaf0f2e2,Exclusive: Australian skincare manufacturer confirms cyber incident ...,2025-02-14,CyberEventType.DATA_BREACH,Baxter Laboratories Pty Ltd,Manufacturing,,C6,Large organisation(s),Isolated compromise,0.7,gpt-4o,2025-11-18T16:48:04.975799
88f286db-04b2-4d78-84c9-106619bcc922,Major IVF provider Genea suffers 'cyber incident' | Information Age ...,2025-02-14,CyberEventType.OTHER,,Healthcare,,C6,Regulated critical infrastructure,Unsuccessful low-level malicious attack,0.6,gpt-4o,2025-11-18T16:48:04.975799
fad794f0-2814-4b85-a16c-44bdff0ce836,Major Australian IVF provider investigating cyber incident | The ...,2025-02-14,CyberEventType.OTHER,,Healthcare,,C6,Regulated critical infrastructure,Unsuccessful low-level malicious attack,0.7,gpt-4o,2025-11-18T16:48:04.975799
e9ca8aac-1fd7-4b55-acad-3fdeb3930229,"NSW court website involved in major data breach, 9,000 documents ...",2025-02-14,CyberEventType.DATA_BREACH,,,9000,C4,State government,Isolated compromise,0.8,gpt-4o,2025-11-18T16:48:04.975799
4e73b5da-cca0-4b15-a0cd-af34f8bc3b35,Cyber Incident Update | M&S,2025-02-01,CyberEventType.OTHER,Marks and Spencer plc,Retail,,C6,Large organisation(s),Unsuccessful low-level malicious attack,0.7,gpt-4o,2025-11-18T16:48:04.975799
