entity_id,entity_name,industry,entity_kind,entity_kind_group,org_size,org_size_score,org_size_unknown,size_confidence,employee_size,turnover_size,sector_proxy,prior_records_band,prior_event_number,prior_event_date,prior_event_ids,prior_titles,spell_end_date,next_event_ids,next_titles,duration_days,event,event_number_cat,elapsed_band
62,ANZ,Financial,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,finance,10k-100k,4,2025-04-01,a634f5c5-dc4e-4b17-9951-0dbbb51b8cf9,"Cybercriminals Trade Stolen Banking Info of 65,000 Australians",2025-08-09,10996b0e-5b68-4993-8ceb-fa2ba6b7da9d,Latest security alerts | ANZ,130,1,3+,0-180
62,ANZ,Financial,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,finance,unknown,5,2025-08-09,10996b0e-5b68-4993-8ceb-fa2ba6b7da9d,Latest security alerts | ANZ,2026-08-05,,,361,0,3+,181-365
63,NAB,Financial,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,finance,10k-100k,1,2019-07-01,09ca7d04-9b1a-48c9-9625-0045a212a1e7,NAB fired IT worker over data breach,2021-01-01,0bf475d9-37b7-4874-a164-f32ae3b1adec,Multiple Australian bank customers’ credentials compromised via infostealer malware,550,1,1,366-730
63,NAB,Financial,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,finance,10k-100k,2,2021-01-01,0bf475d9-37b7-4874-a164-f32ae3b1adec,Multiple Australian bank customers’ credentials compromised via infostealer malware,2023-11-01,091e79b8-74e5-4204-8cb8-682ae4be7f74,"Latest scams, fraud and phishing activity",1034,1,2,731-1460
63,NAB,Financial,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,finance,unknown,3,2023-11-01,091e79b8-74e5-4204-8cb8-682ae4be7f74,"Latest scams, fraud and phishing activity",2024-10-14,ad025b3e-887d-4e1c-935e-7fadff47420f,"NAB, Vodafone and Microsoft listed in alleged Cisco data breach",348,1,3+,181-365
63,NAB,Financial,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,finance,100k+,4,2024-10-14,ad025b3e-887d-4e1c-935e-7fadff47420f,"NAB, Vodafone and Microsoft listed in alleged Cisco data breach",2025-04-01,a634f5c5-dc4e-4b17-9951-0dbbb51b8cf9,"Cybercriminals Trade Stolen Banking Info of 65,000 Australians",169,1,3+,0-180
63,NAB,Financial,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,finance,10k-100k,5,2025-04-01,a634f5c5-dc4e-4b17-9951-0dbbb51b8cf9,"Cybercriminals Trade Stolen Banking Info of 65,000 Australians",2026-08-05,,,491,0,3+,366-730
64,Westpac,Financial,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,finance,10k-100k,1,2021-01-01,0bf475d9-37b7-4874-a164-f32ae3b1adec,Multiple Australian bank customers’ credentials compromised via infostealer malware,2025-04-01,a634f5c5-dc4e-4b17-9951-0dbbb51b8cf9,"Cybercriminals Trade Stolen Banking Info of 65,000 Australians",1551,1,1,>1460
64,Westpac,Financial,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,finance,10k-100k,2,2025-04-01,a634f5c5-dc4e-4b17-9951-0dbbb51b8cf9,"Cybercriminals Trade Stolen Banking Info of 65,000 Australians",2025-07-01,0c8b6662-8335-4fbb-8c54-d5d2ac71f6a0,Callback Scam Campaigns Impersonate Major Australian Banks,91,1,2,0-180
64,Westpac,Financial,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,finance,10k-100k,3,2025-07-01,0c8b6662-8335-4fbb-8c54-d5d2ac71f6a0,Callback Scam Campaigns Impersonate Major Australian Banks,2026-08-05,,,400,0,3+,366-730
73,Suncorp Bank,Financial,organisation,organisation,LARGE,3.0,0,1.0,very_large,unknown,finance,unknown,1,2024-04-01,61bdc563-e6ad-4946-b625-c7fef4e2fdef,"Suncorp’s bank suffers breach, customer funds stolen",2026-08-05,,,856,0,1,731-1460
96,Yarra Trams,Transportation,organisation,organisation,LARGE,3.0,0,0.9,very_large,unknown,telecom_transport,<1k,1,2020-01-31,795c89b0-6a36-47d3-8852-9c05741894dd,Yarra Trams data breach: Commuters' email addresses exposed,2026-08-05,,,2378,0,1,>1460
111,sheep farmers,Individual,organisation,organisation,UNKNOWN,2.8546875,1,0.9,unknown,unknown,other,unknown,1,2020-02-26,8a30f0de-9298-4bca-b7ad-3530af34e801,Ransomware attack on sheep farmers shows there's no room for,2026-08-05,,,2352,0,1,>1460
112,Australian Government,,government_body,government_body,UNKNOWN,2.8546875,1,0.9,unknown,unknown,government,unknown,1,2020-03-01,80303c02-94d6-46d9-8345-648b025d7a60,Ongoing Cyberattack on Australian Government,2020-07-01,b1d4e03a-f21a-4f53-97a7-ce5ba9e20fe2,Australian Government Entity Hit by Brute-Force Attack,122,1,1,0-180
112,Australian Government,,government_body,government_body,UNKNOWN,2.8546875,1,0.9,unknown,unknown,government,unknown,2,2020-07-01,b1d4e03a-f21a-4f53-97a7-ce5ba9e20fe2,Australian Government Entity Hit by Brute-Force Attack,2020-12-01,7034fdd9-e4f5-4697-94c7-52cc19bba6d9,Ongoing SMS Phishing Campaign Targeting Australian Public,153,1,2,0-180
112,Australian Government,,government_body,government_body,UNKNOWN,2.8546875,1,0.9,unknown,unknown,government,unknown,3,2020-12-01,7034fdd9-e4f5-4697-94c7-52cc19bba6d9,Ongoing SMS Phishing Campaign Targeting Australian Public,2023-01-01,29b68226-573d-4cb2-896a-5466f70db71a,DDoS Attacks on Australian Government and University Targets by DieNet,761,1,3+,731-1460
112,Australian Government,,government_body,government_body,UNKNOWN,2.8546875,1,0.9,unknown,unknown,government,1k-10k,4,2023-01-01,29b68226-573d-4cb2-896a-5466f70db71a,DDoS Attacks on Australian Government and University Targets by DieNet,2023-05-27,3d06cad9-f39e-4f31-8beb-05f64884fc90,MOVEit Cyber Attack Impacts Australian Government Agencies,146,1,3+,0-180
112,Australian Government,,government_body,government_body,UNKNOWN,2.8546875,1,0.9,unknown,unknown,government,unknown,5,2023-05-27,3d06cad9-f39e-4f31-8beb-05f64884fc90,MOVEit Cyber Attack Impacts Australian Government Agencies,2024-07-01,9eef9089-ad64-4bb0-aafe-e5a182730190,Australia accuses China-backed hackers of breaching government,401,1,3+,366-730
112,Australian Government,,government_body,government_body,UNKNOWN,2.8546875,1,0.9,unknown,unknown,government,unknown,6,2024-07-01,9eef9089-ad64-4bb0-aafe-e5a182730190,Australia accuses China-backed hackers of breaching government,2025-01-01,8a8764dd-36cd-4a52-8fff-751dcb7c33ab,Software dev accidentally leaks Australian govt documents,184,1,3+,181-365
112,Australian Government,,government_body,government_body,UNKNOWN,2.8546875,1,0.9,unknown,unknown,government,unknown,7,2025-01-01,8a8764dd-36cd-4a52-8fff-751dcb7c33ab,Software dev accidentally leaks Australian govt documents,2025-04-01,330dd0ef-77f8-4af5-8d1a-1369b84eb64b,What we know so far about the cyberattack on Australian,90,1,3+,0-180
112,Australian Government,,government_body,government_body,UNKNOWN,2.8546875,1,0.9,unknown,unknown,government,unknown,8,2025-04-01,330dd0ef-77f8-4af5-8d1a-1369b84eb64b,What we know so far about the cyberattack on Australian,2026-08-05,,,491,0,3+,366-730
116,Service NSW,Government,organisation,organisation,LARGE,3.0,0,1.0,very_large,unknown,government,100k+,1,2020-03-01,92cef7e9-c345-4b8a-b227-b88e109d4209,Service NSW data breach (March 2020),2020-03-24,bc1b1048-1463-44b2-a730-9cf62ffdd48c,"Report identity theft, scams or cybercrime",23,1,1,0-180
116,Service NSW,Government,organisation,organisation,LARGE,3.0,0,1.0,very_large,unknown,government,unknown,2,2020-03-24,bc1b1048-1463-44b2-a730-9cf62ffdd48c,"Report identity theft, scams or cybercrime",2026-08-05,,,2325,0,2,>1460
117,Federal Court,Government,government_body,government_body,LARGE,3.0,0,0.9,very_large,unknown,government,<1k,1,2020-03-31,07d391be-d270-4e7e-82f4-5e9794eda5ab,Federal court data breach sees names of protection visa applicants made public,2026-08-05,,,2318,0,1,>1460
122,Melbourne TAFE,Education,organisation,organisation,LARGE,3.0,0,0.9,unknown,unknown,education,10k-100k,1,2018-09-01,4c0212b4-ea04-4c22-be2d-f2e0032624fe,Melbourne TAFE Data Breach,2021-12-01,c2fdb00e-f9d3-4133-bc18-e59cc61c5c37,TAFE data breach uncovered by SA Police,1187,1,1,731-1460
122,Melbourne TAFE,Education,organisation,organisation,LARGE,3.0,0,0.9,unknown,unknown,education,1k-10k,2,2021-12-01,c2fdb00e-f9d3-4133-bc18-e59cc61c5c37,TAFE data breach uncovered by SA Police,2026-08-05,,,1708,0,2,>1460
133,Victoria Police,Government,government_body,government_body,HUGE,4.0,0,1.0,very_large,unknown,government,unknown,1,2021-11-01,8112a41b-f479-40a3-bb95-6d870ee8af01,Charges over Victoria Police data breach,2026-08-05,,,1738,0,1,>1460
139,Services Australia,Government,government_body,government_body,HUGE,4.0,0,1.0,very_large,unknown,government,1k-10k,1,2023-02-01,8987fd76-be80-47f9-8812-6ce16345dc4a,Data Matching incident (2022-2023),2024-07-11,dd02c3f5-578e-4e27-84d3-bddeb4e0b19b,Data breach | IDMatch,526,1,1,366-730
139,Services Australia,Government,government_body,government_body,HUGE,4.0,0,1.0,very_large,unknown,government,unknown,2,2024-07-11,dd02c3f5-578e-4e27-84d3-bddeb4e0b19b,Data breach | IDMatch,2026-08-05,,,755,0,2,731-1460
160,Optus,Telecommunications,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,telecom_transport,10k-100k,1,2018-09-01,a65e163e-fe69-4309-9c75-64dc15cdea7d,Program:How Bob the Ukrainian security consultant uncovered massive Australian data breach,2019-10-01,bd4e7e6e-2eb2-4d86-bec5-9b83d53c2b98,Optus White Pages breach (2019),395,1,1,366-730
160,Optus,Telecommunications,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,telecom_transport,100k+,2,2019-10-01,bd4e7e6e-2eb2-4d86-bec5-9b83d53c2b98,Optus White Pages breach (2019),2022-09-20,4ecde8f9-5fa9-40d6-a419-56f393dae594,Optus data breach (September 2022),1085,1,2,731-1460
160,Optus,Telecommunications,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,telecom_transport,100k+,3,2022-09-20,4ecde8f9-5fa9-40d6-a419-56f393dae594,Optus data breach (September 2022),2022-12-15,8ae252d0-5efd-4e3e-80ec-cf9b23d2d9db,TPG Telecom email breach (December 2022),86,1,3+,0-180
160,Optus,Telecommunications,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,telecom_transport,10k-100k,4,2022-12-15,8ae252d0-5efd-4e3e-80ec-cf9b23d2d9db,TPG Telecom email breach (December 2022),2026-08-05,,,1329,0,3+,731-1460
174,Western Sydney University,Education,organisation,organisation,LARGE,3.0,0,1.0,very_large,unknown,education,10k-100k,1,2020-07-15,eed92698-bd74-4d98-9936-77e0ec9e17d6,Breaking: 10k students impacted by new Western Sydney Uni data breach,2023-05-17,302dcdac-07ac-47ee-bd36-36be59475769,Western Sydney University Cyber Incident,1036,1,1,731-1460
174,Western Sydney University,Education,organisation,organisation,LARGE,3.0,0,1.0,very_large,unknown,education,1k-10k,2,2023-05-17,302dcdac-07ac-47ee-bd36-36be59475769,Western Sydney University Cyber Incident,2024-01-01,fd6e9593-3899-489b-abd0-b1d80d1c6bc6,Western Sydney University Cyber Attacks (2021 Onward),229,1,2,181-365
174,Western Sydney University,Education,organisation,organisation,LARGE,3.0,0,1.0,very_large,unknown,education,10k-100k,3,2024-01-01,fd6e9593-3899-489b-abd0-b1d80d1c6bc6,Western Sydney University Cyber Attacks (2021 Onward),2024-08-14,0d609fd3-043a-4d52-8374-e713fb4b0832,Western Sydney University data breach (2024),226,1,3+,181-365
174,Western Sydney University,Education,organisation,organisation,LARGE,3.0,0,1.0,very_large,unknown,education,10k-100k,4,2024-08-14,0d609fd3-043a-4d52-8374-e713fb4b0832,Western Sydney University data breach (2024),2025-06-01,2ea1f1b2-c180-4706-a5e9-6b710449642e,Cyber Incident at Western Sydney University,291,1,3+,181-365
174,Western Sydney University,Education,organisation,organisation,LARGE,3.0,0,1.0,very_large,unknown,education,10k-100k,5,2025-06-01,2ea1f1b2-c180-4706-a5e9-6b710449642e,Cyber Incident at Western Sydney University,2026-08-05,,,430,0,3+,366-730
178,WA Police Force,Government,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,government,1k-10k,1,2020-04-01,5e1ed459-9cfc-43a2-86eb-68c12a154005,"Confidential details of entire WA Police Force accessed in 'startling' audit breach, CCC finds",2026-08-05,,,2317,0,1,>1460
191,BlueScope Steel,Other,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,other,unknown,1,2020-05-15,9cd5fd86-7e1b-4249-95cc-ac9ea47f97c3,BlueScope Steel says cyber 'incident' causing disruptions,2026-08-05,,,2273,0,1,>1460
195,Australian Digital Health Agency,Government,organisation,organisation,LARGE,3.0,0,1.0,large,unknown,government,unknown,1,2019-09-01,9f37056a-2e89-4e73-ab72-4306af906f68,My Health Record system hit by hack attempt,2023-06-01,08b34e5c-a036-4b44-a576-7b8970cb5945,Data breaches - Australian Digital Health Agency,1369,1,1,731-1460
195,Australian Digital Health Agency,Government,organisation,organisation,LARGE,3.0,0,1.0,large,unknown,government,unknown,2,2023-06-01,08b34e5c-a036-4b44-a576-7b8970cb5945,Data breaches - Australian Digital Health Agency,2024-07-01,52d488c9-fee8-4672-b960-67716d123651,Australian Digital Health Agency data breach (July 2024),396,1,2,366-730
195,Australian Digital Health Agency,Government,organisation,organisation,LARGE,3.0,0,1.0,large,unknown,government,unknown,3,2024-07-01,52d488c9-fee8-4672-b960-67716d123651,Australian Digital Health Agency data breach (July 2024),2026-08-05,,,765,0,3+,731-1460
203,Company A,Other,organisation,organisation,MEDIUM,2.0,0,0.8,medium,unknown,other,unknown,1,2020-03-15,04500fc7-497d-4458-8fbd-1dc1ac73e55d,Maze Ransomware Attack on Logistics Provider,2026-08-05,,,2334,0,1,>1460
204,IN SPORT,Retail,organisation,organisation,MEDIUM,2.0,0,0.6,medium,unknown,retail,unknown,1,2020-05-16,2e76a5f8-6566-4f97-8f63-789ecb487f93,Retailer IN SPORT's head office hit by ransomware,2026-08-05,,,2272,0,1,>1460
217,Microsoft,Technology,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,technology,1k-10k,1,2021-01-06,73b7bd58-7432-4f44-aa06-7f50b352ef32,Australian corporations hit by massive Microsoft Server hack,2022-03-20,ced6fd5f-1dfd-4db3-ad5d-d154bfaa31bd,Hackers Post Images Showing Possible Microsoft Breach,438,1,1,366-730
217,Microsoft,Technology,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,technology,100k+,2,2022-03-20,ced6fd5f-1dfd-4db3-ad5d-d154bfaa31bd,Hackers Post Images Showing Possible Microsoft Breach,2026-01-01,ca363e13-46cf-4172-b305-a8504efba960,Microsoft Zero-Day CVE-2026-20805 Exploitation,1383,1,2,731-1460
217,Microsoft,Technology,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,technology,unknown,3,2026-01-01,ca363e13-46cf-4172-b305-a8504efba960,Microsoft Zero-Day CVE-2026-20805 Exploitation,2026-08-05,,,216,0,3+,181-365
239,BlueScope,Other,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,other,unknown,1,2020-05-15,9cd5fd86-7e1b-4249-95cc-ac9ea47f97c3,BlueScope Steel says cyber 'incident' causing disruptions,2026-08-05,,,2273,0,1,>1460
248,Facebook,Technology,product,other_or_unknown,UNKNOWN,2.8546875,1,0.9,unknown,unknown,technology,100k+,1,2019-09-01,23ab3eb4-f0f5-42a5-b957-f3b59f40db32,Facebook data leak: Details of 533 million users found on site for hackers,2026-08-05,,,2530,0,1,>1460
251,Twitter,Technology,product,other_or_unknown,UNKNOWN,2.8546875,1,0.9,unknown,unknown,technology,100k+,1,2021-12-01,de038a26-95c0-44f5-8fc0-f7929cc9f68c,More than 5 million Twitter accounts impacted by recent data breach,2026-08-05,,,1708,0,1,>1460
252,Fisher & Paykel Appliances,Manufacturing,organisation,organisation,LARGE,3.0,0,0.9,very_large,unknown,industrial,unknown,1,2020-06-01,f39174e4-8f6d-4591-b20b-8564eadcbead,Fisher & Paykel Appliances struck by Nefilim ransomware,2026-08-05,,,2256,0,1,>1460
258,Lion,Other,organisation,organisation,HUGE,4.0,0,0.9,very_large,unknown,other,unknown,1,2020-06-08,cdccd4d5-0060-484f-8003-b9c40bcbac51,Lion Dairy & Drinks Ransomware Attack and Data Leak,2026-08-05,,,2249,0,1,>1460
264,Avon,Other,organisation,organisation,HUGE,4.0,0,0.9,very_large,unknown,other,100k+,1,2020-06-03,9df933e9-a6e8-46f9-b027-ff77af6b4fa0,Avon to reboot systems hit by cyber incident,2026-08-05,,,2254,0,1,>1460
283,Parliament,Government,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,government,unknown,1,2020-06-01,fa86e167-c16f-46a1-842d-23bd3cf2132c,China cyber attack on Australian entities (June 2020),2026-08-05,,,2256,0,1,>1460
286,MedFin,Financial,organisation,organisation,MEDIUM,2.0,0,0.7,medium,unknown,finance,100k+,1,2020-06-01,5a2f61c5-45da-44e9-bc40-45153d5af85d,MedFin Australia Cyber Attack,2026-08-05,,,2256,0,1,>1460
311,Google,Technology,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,technology,100k+,1,2020-06-15,519e3671-d272-487f-aec0-b9e115d4b8c8,Google Chrome Security Breach: 33 Million Downloads Of Spyware,2026-08-05,,,2242,0,1,>1460
317,Huawei,Technology,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,technology,unknown,1,2012-01-01,1e9a1cfe-8599-46c9-beda-c7c9f18100eb,Huawei security breach in Australia (2012),2026-08-05,,,5330,0,1,>1460
330,Mosaic Brands,Retail,organisation,organisation,LARGE,3.0,0,0.9,very_large,unknown,retail,unknown,1,2020-06-15,40845d24-dcbe-4507-9998-beeb538ec99a,'Whistleblower' accuses Noni B owner of mass privacy breach,2026-08-05,,,2242,0,1,>1460
349,Western Australia,Education,other,other_or_unknown,UNKNOWN,2.8546875,1,0.9,unknown,unknown,education,unknown,1,2020-07-01,938493fc-1f43-43db-8879-516c880d43a0,Coronavirus: Teenager allegedly behind massive WA data breach,2026-08-05,,,2226,0,1,>1460
353,Western Australia Health Department,Government,government_body,government_body,HUGE,4.0,0,1.0,very_large,unknown,government,unknown,1,2022-08-15,e735390c-ae15-4f03-b582-6e769c61aee0,Monkeypox data breach in Perth (August 2022),2026-08-05,,,1451,0,1,731-1460
354,WA Department of Health,Government,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,government,unknown,1,2020-01-01,fd4ff67b-b99a-48e0-bf8d-351bbe0c832f,WA Department of Health data breach sees confidential patient information published online,2026-08-05,,,2408,0,1,>1460
357,Vodafone,Telecommunications,organisation,organisation,HUGE,4.0,0,0.9,very_large,unknown,telecom_transport,unknown,1,2022-02-01,48da8173-df10-4c5b-a056-c83ac91be69a,"Nvidia hackers claim they also hit Vodafone, threaten data leak",2026-08-05,,,1646,0,1,>1460
358,Australian Federal Police,Government,government_body,government_body,HUGE,4.0,0,1.0,very_large,unknown,government,unknown,1,2022-09-01,8bbc3be9-d459-4372-9744-1ce8a1991868,AFP officer data leak (September 2022),2025-09-01,caae55c5-3ca8-4a9f-9a5e-e8907178b2c8,Aussie Fluid Power ransomware attack (September 2025),1096,1,1,731-1460
358,Australian Federal Police,Government,government_body,government_body,HUGE,4.0,0,1.0,very_large,unknown,government,unknown,2,2025-09-01,caae55c5-3ca8-4a9f-9a5e-e8907178b2c8,Aussie Fluid Power ransomware attack (September 2025),2026-08-05,,,338,0,2,181-365
360,Garmin,Technology,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,technology,unknown,1,2020-07-23,24f9cc09-05ad-4f31-a891-87909a3bef2f,Garmin goes down after suspected ransomware attack,2026-08-05,,,2204,0,1,>1460
368,UFO VPN,Technology,organisation,organisation,SMALL,1.0,0,0.9,small,unknown,technology,100k+,1,2020-06-27,078ee33c-7f1b-4dbe-a7f3-519cb0086840,Data breach of free VPN providers exposes details of millions of users,2026-08-05,,,2230,0,1,>1460
369,Fast VPN,Technology,organisation,organisation,SMALL,1.0,0,0.7,small,unknown,technology,100k+,1,2020-06-27,078ee33c-7f1b-4dbe-a7f3-519cb0086840,Data breach of free VPN providers exposes details of millions of users,2026-08-05,,,2230,0,1,>1460
370,Free VPN,Technology,organisation,organisation,UNKNOWN,2.8546875,1,0.4,unknown,unknown,technology,100k+,1,2020-06-27,078ee33c-7f1b-4dbe-a7f3-519cb0086840,Data breach of free VPN providers exposes details of millions of users,2026-08-05,,,2230,0,1,>1460
371,Super VPN,Technology,organisation,organisation,SMALL,1.0,0,0.6,small,unknown,technology,100k+,1,2020-06-27,078ee33c-7f1b-4dbe-a7f3-519cb0086840,Data breach of free VPN providers exposes details of millions of users,2026-08-05,,,2230,0,1,>1460
372,Flash VPN,Technology,organisation,organisation,SMALL,1.0,0,0.7,small,unknown,technology,100k+,1,2020-06-27,078ee33c-7f1b-4dbe-a7f3-519cb0086840,Data breach of free VPN providers exposes details of millions of users,2026-08-05,,,2230,0,1,>1460
373,Secure VPN,Technology,organisation,organisation,SMALL,1.0,0,0.7,small,unknown,technology,100k+,1,2020-06-27,078ee33c-7f1b-4dbe-a7f3-519cb0086840,Data breach of free VPN providers exposes details of millions of users,2026-08-05,,,2230,0,1,>1460
374,Rabbit VPN,Technology,organisation,organisation,SMALL,1.0,0,0.4,small,unknown,technology,100k+,1,2020-06-27,078ee33c-7f1b-4dbe-a7f3-519cb0086840,Data breach of free VPN providers exposes details of millions of users,2026-08-05,,,2230,0,1,>1460
382,University of Sydney,Technology,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,technology,100k+,1,2020-08-01,483f27b2-466e-452f-b09f-312dd04875a8,ProctorU Data Breach Impacts Australian Universities,2025-06-23,6846b31a-1261-4119-b2e9-386aee4d83fe,"UAP confirms ransomware attack, personal data and email correspondence exposed",1787,1,1,>1460
382,University of Sydney,Technology,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,technology,10k-100k,2,2025-06-23,6846b31a-1261-4119-b2e9-386aee4d83fe,"UAP confirms ransomware attack, personal data and email correspondence exposed",2025-12-18,ee79bc14-85c4-4b5f-9a68-c181d5c81ff8,University of Sydney Code Repository Compromise (December 2025),178,1,2,0-180
382,University of Sydney,Technology,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,technology,10k-100k,3,2025-12-18,ee79bc14-85c4-4b5f-9a68-c181d5c81ff8,University of Sydney Code Repository Compromise (December 2025),2026-04-29,b5698d4f-528b-4133-8090-b5f55c0589c3,University of Sydney investigates potential data compromise from Canvas cyberattack,132,1,3+,0-180
382,University of Sydney,Technology,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,technology,1k-10k,4,2026-04-29,b5698d4f-528b-4133-8090-b5f55c0589c3,University of Sydney investigates potential data compromise from Canvas cyberattack,2026-08-05,,,98,0,3+,0-180
383,University of New South Wales,Technology,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,technology,100k+,1,2020-08-01,483f27b2-466e-452f-b09f-312dd04875a8,ProctorU Data Breach Impacts Australian Universities,2025-01-15,d9212e6b-cbeb-4102-b0c7-808b1b8b6d03,University of NSW Physics Website Cyber Attack (January 2025),1628,1,1,>1460
383,University of New South Wales,Technology,organisation,organisation,HUGE,4.0,0,1.0,very_large,unknown,technology,10k-100k,2,2025-01-15,d9212e6b-cbeb-4102-b0c7-808b1b8b6d03,University of NSW Physics Website Cyber Attack (January 2025),2026-08-05,,,567,0,2,366-730
